# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.libraries.ms,1777361087613000000,1777361103672000000,21
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777361087613000000,1777361103672000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777361087613000000,1777361103672000000,0
workspaceModel.do.save.caches.ms,1777361087613000000,1777361103672000000,0
jps.load.initial.state.ms,1777361087613000000,1777361103672000000,13
workspaceModel.mutableEntityStorage.resolve.ms,1777361087613000000,1777361103672000000,0
workspaceModel.update.unloaded.entities.ms,1777361087613000000,1777361103672000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777361087613000000,1777361103672000000,0
workspaceModel.on.changed.ms,1777361087613000000,1777361103672000000,0
workspaceModel.loading.total.ms,1777361087613000000,1777361103672000000,29
workspaceModel.check.recursive.update.ms,1777361087613000000,1777361103672000000,0
workspaceModel.replace.project.model.ms,1777361087613000000,1777361103672000000,0
workspaceModel.collect.changes.ms,1777361087613000000,1777361103672000000,0
workspaceModel.init.bridges.ms,1777361087613000000,1777361103672000000,0
workspaceModel.cachedValue.calculated.count,1777361087613000000,1777361103672000000,2
workspaceModel.cachedValue.total.get.count,1777361087613000000,1777361103672000000,18
workspaceModel.full.replace.project.model.ms,1777361087613000000,1777361103672000000,0
workspaceModel.pre.handlers.ms,1777361087613000000,1777361103672000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777361087613000000,1777361103672000000,4
workspaceModel.cachedValueWithParameters.clear.count,1777361087613000000,1777361103672000000,0
workspaceModel.cachedValue.clear.count,1777361087613000000,1777361103672000000,0
workspaceModel.initializing.ms,1777361087613000000,1777361103672000000,0
workspaceModel.updates.count,1777361087613000000,1777361103672000000,0
workspaceModel.updates.ms,1777361087613000000,1777361103672000000,0
workspaceModel.cachedValue.from.cache.count,1777361087613000000,1777361103672000000,16
workspaceModel.cachedValueWithParameters.calculated.count,1777361087613000000,1777361103672000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1777361087613000000,1777361103672000000,0
workspaceModel.loading.from.cache.ms,1777361087613000000,1777361103672000000,24
workspaceModel.updates.precise.ms,1777361087613000000,1777361103672000000,0
workspaceModel.on.before.changed.ms,1777361087613000000,1777361103672000000,0
workspaceModel.to.snapshot.ms,1777361087613000000,1777361103672000000,0
parser.HTML.size.bytes,1777361087613000000,1777361103672000000,1
writeAction.median.wait.ms,1777361087613000000,1777361103672000000,0
writeAction.wait.ms,1777361087613000000,1777361103672000000,29
DiskQueryRelay.tasksRequested,1777361087613000000,1777361103672000000,294
parser.HTML.time.ns,1777361087613000000,1777361103672000000,1294417
lexer.VTL.time.ns,1777361087613000000,1777361103672000000,624666
lexer.HTML.size.bytes,1777361087613000000,1777361103672000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1777361087613000000,1777361103672000000,225419
lexer.HTML.time.ns,1777361087613000000,1777361103672000000,102166
writeAction.max.wait.ms,1777361087613000000,1777361103672000000,29
DiskQueryRelay.taskExecutionTotalTimeUs,1777361087613000000,1777361103672000000,202442
parser.VTL.size.bytes,1777361087613000000,1777361103672000000,134
DiskQueryRelay.tasksExecuted,1777361087613000000,1777361103672000000,294
parser.VTL.time.ns,1777361087613000000,1777361103672000000,2152458
lexer.VTL.size.bytes,1777361087613000000,1777361103672000000,134
writeAction.count,1777361087613000000,1777361103672000000,12
NonBlockingReadAction.failedExecutionTimeUs,1777361087613000000,1777361103672000000,0
NonBlockingReadAction.failedExecutionsCount,1777361087613000000,1777361103672000000,0
AWTEventQueue.dispatchTimeTotalNS,1777361087613000000,1777361103672000000,1889046351
NonBlockingReadAction.finalizedExecutionsCount,1777361087613000000,1777361103672000000,12
NonBlockingReadAction.finalizedExecutionTimeUs,1777361087613000000,1777361103672000000,122287
FilePageCache.capacityInBytes,1777361087613000000,1777361103672000000,629145600
FilePageCache.maxRegisteredFiles,1777361087613000000,1777361103672000000,852
StorageLockContext.competingThreads.max,1777361087613000000,1777361103672000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777361087613000000,1777361103672000000,41943040
StorageLockContext.competingThreads.avg,1777361087613000000,1777361103672000000,0.0
FilePageCache.totalPageLoadsUs,1777361087613000000,1777361103672000000,94604
FilePageCache.disposedBuffers,1777361087613000000,1777361103672000000,314
FilePageCache.pageLoads,1777361087613000000,1777361103672000000,314
DirectByteBufferAllocator.disposed,1777361087613000000,1777361103672000000,271
DirectByteBufferAllocator.hits,1777361087613000000,1777361103672000000,3
StorageLockContext.competingThreads.90P,1777361087613000000,1777361103672000000,0
DirectByteBufferAllocator.reclaimed,1777361087613000000,1777361103672000000,43
FilePageCache.totalPageDisposalsUs,1777361087613000000,1777361103672000000,1283
DirectByteBufferAllocator.misses,1777361087613000000,1777361103672000000,311
FilePageCache.pageHits,1777361087613000000,1777361103672000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777361087613000000,1777361103672000000,41943040
FilePageCache.pageFastCacheHits,1777361087613000000,1777361103672000000,21861
FilePageCache.maxCacheSizeInBytes,1777361087613000000,1777361103672000000,326107136
FileChannelInterruptsRetryer.totalRetriedAttempts,1777361087613000000,1777361103672000000,0
FilePageCache.uncachedFileAccess,1777361087613000000,1777361103672000000,463
FilePageCache.pageLoadsAboveSizeThreshold,1777361087613000000,1777361103672000000,0
cacheStateStorage.set.counter,1777361087613000000,1777361103672000000,8
cacheStateStorage.get.counter,1777361087613000000,1777361103672000000,10
cacheStateStorage.set.duration,1777361087613000000,1777361103672000000,12
cacheStateStorage.get.duration,1777361087613000000,1777361103672000000,0
